Input,Output
green bird sitting,"A vibrant green bird sitting in a steampunk style, --ar 4:3"
white cat standing,"A bright white cat standing in a photorealistic style, --ar 4:3"
purple mountain jumping,"A serene purple mountain jumping in a minimalist style, --v 5"
yellow mountain swimming,"A dark yellow mountain swimming in a watercolor style, --hd"
black person flying,"A dramatic black person flying in a cyberpunk style, --no blur"
orange dragon swimming,"A whimsical orange dragon swimming in a surreal style, --v 4"
black house dancing,"A dramatic black house dancing in a oil painting style, --v 4"
black person sitting,"A bright black person sitting in a surreal style, --stylize 1000"
yellow cat flying,"A serene yellow cat flying in a photorealistic style, --hd"
yellow dog jumping,"A vibrant yellow dog jumping in a cyberpunk style, --stylize 500"
purple dog dancing,"A dramatic purple dog dancing in a surreal style, --v 4"
orange dragon swimming,"A romantic orange dragon swimming in a pop art style, --q 2"
purple robot climbing,"A vibrant purple robot climbing in a oil painting style, --ar 16:9"
pink robot standing,"A dark pink robot standing in a surreal style, --ar 4:3"
pink cat standing,"A serene pink cat standing in a oil painting style, --ar 16:9"
orange mountain climbing,"A mysterious orange mountain climbing in a minimalist style, --v 4"
brown person sitting,"A vibrant brown person sitting in a digital art style, --ar 4:3"
yellow bird sleeping,"A romantic yellow bird sleeping in a surreal style, --no blur"
pink robot standing,"A bright pink robot standing in a photorealistic style, --q 3"
black bird standing,"A whimsical black bird standing in a watercolor style, --stylize 500"
black dog sitting,"A whimsical black dog sitting in a oil painting style, --no blur"
green person sitting,"A bright green person sitting in a photorealistic style, --ar 16:9"
red person climbing,"A futuristic red person climbing in a steampunk style, --q 3"
green person swimming,"A dark green person swimming in a sketch style, --ar 16:9"
red bird flying,"A bright red bird flying in a sketch style, --q 2"
green car sleeping,"A serene green car sleeping in a minimalist style, --v 5"
orange person sleeping,"A vibrant orange person sleeping in a oil painting style, --stylize 500"
orange mountain standing,"A whimsical orange mountain standing in a photorealistic style, --v 4"
pink car climbing,"A romantic pink car climbing in a minimalist style, --ar 4:3"
white dragon jumping,"A mysterious white dragon jumping in a watercolor style, --ar 16:9"
blue car dancing,"A romantic blue car dancing in a pop art style, --ar 16:9"
black bird swimming,"A eerie black bird swimming in a oil painting style, --q 3"
green mountain standing,"A dramatic green mountain standing in a minimalist style, --ar 4:3"
blue house standing,"A romantic blue house standing in a steampunk style, --q 2"
black dragon sleeping,"A romantic black dragon sleeping in a cyberpunk style, --ar 16:9"
purple robot jumping,"A serene purple robot jumping in a oil painting style, --q 3"
green mountain jumping,"A dark green mountain jumping in a cyberpunk style, --q 2"
black bird flying,"A romantic black bird flying in a surreal style, --hd"
orange robot standing,"A dark orange robot standing in a photorealistic style, --ar 4:3"
yellow tree sleeping,"A futuristic yellow tree sleeping in a steampunk style, --no blur"
black mountain sleeping,"A futuristic black mountain sleeping in a surreal style, --stylize 500"
white dragon jumping,"A bright white dragon jumping in a pop art style, --v 4"
blue dog climbing,"A futuristic blue dog climbing in a photorealistic style, --q 2"
purple person lounging,"A dark purple person lounging in a minimalist style, --hd"
blue dog lounging,"A whimsical blue dog lounging in a oil painting style, --no blur"
brown dog dancing,"A whimsical brown dog dancing in a surreal style, --q 3"
white dragon standing,"A bright white dragon standing in a pop art style, --v 5"
black dragon sitting,"A vibrant black dragon sitting in a surreal style, --q 2"
purple dog lounging,"A mysterious purple dog lounging in a watercolor style, --v 4"
green dog sleeping,"A vibrant green dog sleeping in a photorealistic style, --hd"
red house sitting,"A futuristic red house sitting in a photorealistic style, --v 4"
white tree dancing,"A whimsical white tree dancing in a oil painting style, --v 5"
yellow mountain running,"A romantic yellow mountain running in a watercolor style, --ar 4:3"
blue mountain running,"A eerie blue mountain running in a oil painting style, --v 4"
pink person lounging,"A futuristic pink person lounging in a watercolor style, --stylize 1000"
pink car jumping,"A whimsical pink car jumping in a sketch style, --q 3"
blue person sitting,"A futuristic blue person sitting in a digital art style, --q 3"
green dog swimming,"A romantic green dog swimming in a sketch style, --q 3"
yellow bird standing,"A whimsical yellow bird standing in a digital art style, --v 4"
green car sleeping,"A vibrant green car sleeping in a surreal style, --ar 4:3"
pink person standing,"A futuristic pink person standing in a surreal style, --stylize 500"
purple cat sitting,"A mysterious purple cat sitting in a minimalist style, --ar 16:9"
pink dog flying,"A serene pink dog flying in a sketch style, --v 4"
purple person dancing,"A bright purple person dancing in a digital art style, --q 2"
purple tree dancing,"A vibrant purple tree dancing in a pop art style, --q 2"
pink house lounging,"A eerie pink house lounging in a watercolor style, --v 5"
white dragon dancing,"A dramatic white dragon dancing in a surreal style, --stylize 1000"
brown bird dancing,"A whimsical brown bird dancing in a cyberpunk style, --stylize 1000"
pink house sleeping,"A dark pink house sleeping in a digital art style, --ar 16:9"
brown dog dancing,"A vibrant brown dog dancing in a digital art style, --v 4"
white tree swimming,"A romantic white tree swimming in a digital art style, --v 4"
white robot jumping,"A serene white robot jumping in a minimalist style, --v 5"
yellow dragon jumping,"A dark yellow dragon jumping in a sketch style, --stylize 500"
green tree swimming,"A bright green tree swimming in a steampunk style, --q 3"
brown car running,"A serene brown car running in a watercolor style, --stylize 1000"
red person sitting,"A vibrant red person sitting in a digital art style, --ar 4:3"
purple house flying,"A mysterious purple house flying in a watercolor style, --stylize 1000"
purple dog lounging,"A whimsical purple dog lounging in a digital art style, --stylize 500"
brown robot jumping,"A bright brown robot jumping in a cyberpunk style, --q 2"
pink robot sleeping,"A eerie pink robot sleeping in a digital art style, --ar 4:3"
brown house dancing,"A bright brown house dancing in a minimalist style, --no blur"
green person standing,"A dark green person standing in a digital art style, --ar 4:3"
pink car standing,"A mysterious pink car standing in a oil painting style, --ar 4:3"
white cat flying,"A eerie white cat flying in a photorealistic style, --hd"
yellow robot running,"A vibrant yellow robot running in a digital art style, --stylize 500"
red person lounging,"A vibrant red person lounging in a surreal style, --stylize 500"
purple person lounging,"A mysterious purple person lounging in a sketch style, --no blur"
pink dog flying,"A whimsical pink dog flying in a digital art style, --v 4"
blue house jumping,"A romantic blue house jumping in a cyberpunk style, --stylize 500"
pink mountain sleeping,"A futuristic pink mountain sleeping in a oil painting style, --ar 4:3"
orange dragon flying,"A romantic orange dragon flying in a pop art style, --v 4"
yellow robot flying,"A mysterious yellow robot flying in a surreal style, --ar 4:3"
black dog sitting,"A eerie black dog sitting in a steampunk style, --no blur"
brown house sitting,"A dramatic brown house sitting in a digital art style, --no blur"
purple house flying,"A mysterious purple house flying in a minimalist style, --no blur"
green robot swimming,"A serene green robot swimming in a steampunk style, --hd"
red robot climbing,"A serene red robot climbing in a cyberpunk style, --q 2"
orange cat swimming,"A romantic orange cat swimming in a steampunk style, --v 4"
brown bird lounging,"A eerie brown bird lounging in a sketch style, --ar 4:3"
purple dog climbing,"A mysterious purple dog climbing in a sketch style, --ar 16:9"
purple bird climbing,"A futuristic purple bird climbing in a digital art style, --v 5"
black person running,"A dark black person running in a pop art style, --v 4"
green dog jumping,"A whimsical green dog jumping in a watercolor style, --q 2"
blue bird dancing,"A vibrant blue bird dancing in a pop art style, --v 4"
green mountain jumping,"A serene green mountain jumping in a minimalist style, --ar 4:3"
orange bird jumping,"A dramatic orange bird jumping in a surreal style, --ar 4:3"
brown house climbing,"A romantic brown house climbing in a pop art style, --v 5"
pink dog climbing,"A romantic pink dog climbing in a sketch style, --q 2"
purple dog jumping,"A whimsical purple dog jumping in a cyberpunk style, --stylize 500"
green dragon swimming,"A mysterious green dragon swimming in a sketch style, --q 2"
blue dog sleeping,"A bright blue dog sleeping in a digital art style, --ar 16:9"
pink house lounging,"A dramatic pink house lounging in a watercolor style, --stylize 1000"
yellow robot swimming,"A bright yellow robot swimming in a cyberpunk style, --v 5"
pink tree swimming,"A vibrant pink tree swimming in a pop art style, --ar 4:3"
pink dog swimming,"A mysterious pink dog swimming in a minimalist style, --v 5"
pink cat climbing,"A romantic pink cat climbing in a pop art style, --no blur"
yellow person sitting,"A futuristic yellow person sitting in a photorealistic style, --ar 4:3"
white tree running,"A whimsical white tree running in a oil painting style, --stylize 500"
red cat sleeping,"A dark red cat sleeping in a photorealistic style, --ar 4:3"
red person running,"A whimsical red person running in a sketch style, --no blur"
red tree standing,"A whimsical red tree standing in a photorealistic style, --stylize 1000"
purple mountain running,"A mysterious purple mountain running in a sketch style, --v 4"
red car sitting,"A dark red car sitting in a sketch style, --stylize 1000"
yellow house standing,"A mysterious yellow house standing in a oil painting style, --no blur"
orange dragon running,"A bright orange dragon running in a cyberpunk style, --stylize 500"
white house sleeping,"A dramatic white house sleeping in a oil painting style, --stylize 500"
